,Model,Run,Auc_mean,Auc_std,Acc_mean,Acc_std,F1_mean,F1_std,Mcc_mean,Mcc_std,Aggregate_score
0,GCN_Optimised,2,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
1,GCN_Optimised,3,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
2,GCN_Optimised,4,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
3,GCN_Optimised,5,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
4,GCN_Optimised,1,0.4988154891950775,0.003798696970723742,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31263175027891354
5,GAT_Optimised,2,0.5169948647795242,0.04055262102190523,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3180855629542476
6,GAT_Optimised,3,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
7,GAT_Optimised,4,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
8,GAT_Optimised,5,0.5,0.0,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.31298710352039033
9,GAT_Optimised,1,0.4728217262323039,0.0784113209874849,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3048336213900815
10,GraphSAGE_Optimised,3,0.6283137534230241,0.05860120765677077,0.5452771000348553,0.00680817321362818,0.01119047619047619,0.025511768659504074,0.016931857719688578,0.058953278154124066,0.3577017228193968
11,GraphSAGE_Optimised,2,0.6133323948726279,0.058389583880904844,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3469868219821787
12,GraphSAGE_Optimised,4,0.5925800627141196,0.04199889713269664,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3407611223346262
13,GraphSAGE_Optimised,1,0.5800547638212296,0.06650887210510567,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3370035326667592
14,GraphSAGE_Optimised,5,0.5768218412203578,0.05873269196948569,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3360336558864977
15,GIN_Optimised,5,0.5309583569849767,0.08262746580023461,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.32227461061588336
16,GIN_Optimised,3,0.503515776482692,0.08274768304847045,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3140418364651979
17,GIN_Optimised,4,0.489474509156152,0.1183170635671406,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.3098294562672359
18,GIN_Optimised,1,0.4877792947277674,0.05958081575479579,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.30932089193872053
19,GIN_Optimised,2,0.47371422061522866,0.08642240290717579,0.5432903450679678,0.0017390820215156932,0.0,0.0,0.0,0.0,0.30510136970495894
