,Model,Run,Auc_mean,Auc_std,Acc_mean,Acc_std,F1_mean,F1_std,Mcc_mean,Mcc_std,Aggregate_score
0,GCN_Optimised,4,0.8002677521483491,0.04490048971278698,0.9281896551724138,0.006200810897220778,0.06666666666666668,0.11055415967851334,0.09262937700801269,0.1509734926526598,0.5503964309311646
1,GCN_Optimised,5,0.7828031559374843,0.07199775955807264,0.9254214559386973,0.004029243905170188,0.033566433566433566,0.06742361282905705,0.04500307136297023,0.10506073869476475,0.5281812845487353
2,GCN_Optimised,2,0.7680384441429218,0.054235469596742414,0.9268007662835249,0.00450600002222489,0.03484848484848485,0.069779266301027,0.05741242923588259,0.12077344459280322,0.5269039459448074
3,GCN_Optimised,1,0.7229384893713252,0.08513235137307935,0.9254166666666667,0.0026958156694900106,0.0,0.0,-0.002284439085438665,0.006853317256315996,0.49404965899430986
4,GCN_Optimised,3,0.6888509975375647,0.16849615016408084,0.9261111111111111,0.004329554894057588,0.01818181818181818,0.05454545454545454,0.02832704465943945,0.09284607978176726,0.4937904051628543
5,GAT_Optimised,4,0.8370008543142872,0.05850122241696856,0.9254214559386973,0.005074178907379312,0.033566433566433566,0.06742361282905705,0.04488351122452911,0.1051383468180324,0.544416682034088
6,GAT_Optimised,2,0.7994891200562841,0.06672775836780617,0.9254214559386973,0.005074178907379312,0.033566433566433566,0.06742361282905705,0.04488351122452911,0.1051383468180324,0.5331631617566871
7,GAT_Optimised,3,0.7572085531936279,0.1339062686339649,0.9268055555555555,0.004428668099577304,0.050233100233100236,0.07698741746572273,0.0696562071736706,0.11021697996778716,0.5291820941061092
8,GAT_Optimised,5,0.7229714558520529,0.14555100330718973,0.9247270114942528,0.0036485358325186712,0.01666666666666667,0.05000000000000001,0.015428605385116784,0.06254208951689978,0.5007285946142485
9,GAT_Optimised,1,0.7196348057691341,0.10125932767603575,0.9261111111111111,0.004329554894057588,0.01818181818181818,0.05454545454545454,0.02832704465943945,0.09284607978176726,0.5030255476323251
10,GraphSAGE_Optimised,4,0.8842410673903209,0.051675642263172984,0.9337164750957854,0.008182594253967551,0.231025641025641,0.16956629520076527,0.2707728697152632,0.1910292290549698,0.6457469648940127
11,GraphSAGE_Optimised,5,0.8720997035026887,0.04361241976305049,0.9364894636015327,0.013641011219880093,0.30684173669467785,0.24780222916647204,0.3273848552065649,0.25345854323421074,0.669422068511515
12,GraphSAGE_Optimised,2,0.8304633901201065,0.04390855252547382,0.9275,0.008230550355893873,0.07282051282051281,0.1520199301789,0.07805757332844684,0.16881914631155734,0.5575646342658238
13,GraphSAGE_Optimised,3,0.7991319664304739,0.07876305386545664,0.928888888888889,0.008619779645455766,0.0988235294117647,0.20207915815137775,0.09692310147284608,0.1978701712620006,0.557555582772731
14,GraphSAGE_Optimised,1,0.7430851299060255,0.08173413763395297,0.9254166666666667,0.005153401360330675,0.01818181818181818,0.05454545454545454,0.027369443314695995,0.09341654673976324,0.5096607912711105
15,GIN_Optimised,4,0.7947521483491633,0.052045372792022246,0.9254214559386973,0.007367818333422644,0.0913919413919414,0.1200952774223008,0.10667013827006859,0.15217062973541798,0.5556644972187601
16,GIN_Optimised,3,0.7732373486104829,0.03996570721637524,0.9254310344827585,0.007918768394250719,0.09205128205128206,0.12203862248501811,0.1023055490244901,0.15325254211138192,0.5484718811431268
17,GIN_Optimised,5,0.7723687622493592,0.08400693546246865,0.9288793103448276,0.009196300243513507,0.16775557775557776,0.13132021546720685,0.21306800909087636,0.16192492664998756,0.586539139147547
18,GIN_Optimised,2,0.7267304889692949,0.054206586444642144,0.9268055555555555,0.005396812603097838,0.051515151515151514,0.0787878787878788,0.0774099127918767,0.1262350939228,0.5218458262188607
19,GIN_Optimised,1,0.6944167546107844,0.07568295305897212,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.4861583597165686
