,Model,Run,Auc_mean,Auc_std,Acc_mean,Acc_std,F1_mean,F1_std,Mcc_mean,Mcc_std,Aggregate_score
0,GCN_Optimised,4,0.9338724463991541,0.0385160033594091,0.8999556672085121,0.029752977203405726,0.9358848681494673,0.018313773468628853,0.7105926161081285,0.0948984904817625,0.8794439309338191
1,GCN_Optimised,2,0.888571496615348,0.05148723525653914,0.8672799369489187,0.0340877952363638,0.9168399090722582,0.020107090951070185,0.5985566505008021,0.11935951521063246,0.8298347419838922
2,GCN_Optimised,3,0.8924402530665401,0.051923868165864015,0.8643071769863553,0.03701091126714853,0.9146254546008945,0.022806804656762318,0.593327626461411,0.1195211420292289,0.8286148452283298
3,GCN_Optimised,5,0.8612921799883544,0.10334787843464019,0.8648046894241663,0.03293247345985032,0.9155258892164252,0.018931274059100684,0.5885131614261664,0.12121433408286092,0.8186368709522744
4,GCN_Optimised,1,0.7951342632231743,0.08726956358210321,0.8063814590414266,0.04709915399090807,0.8866541495848563,0.02261358305319984,0.23766623108328702,0.29398965523522363,0.7053187928130089
5,GAT_Optimised,3,0.8698752208421421,0.040134090374409584,0.8583518053297867,0.020275430563710582,0.9098613517669888,0.011769580452725805,0.5835612442238134,0.07334898171565371,0.8171526270497392
6,GAT_Optimised,5,0.8643920021669119,0.04172881001137772,0.8558790207378948,0.020405050784135677,0.9089775423650746,0.011651143359961945,0.5706724751905263,0.07527909671693651,0.8120113103825622
7,GAT_Optimised,2,0.8517686519313596,0.06980341972831076,0.8469607408502045,0.03052129772037719,0.9034231210037955,0.017006597395129004,0.540834068082866,0.1238776463264635,0.7984702556518015
8,GAT_Optimised,4,0.8476479078052442,0.07142247488077615,0.8410275355893798,0.03573790299445824,0.9001787895378657,0.01990570633992571,0.5152044930343549,0.14253269572160224,0.7896792895328313
9,GAT_Optimised,1,0.7465977646834678,0.06122755832924112,0.7830747253829862,0.02001366633697723,0.8747799349500553,0.008333384281026118,0.13705202395135027,0.1801070191562023,0.6612681388002173
10,GraphSAGE_Optimised,3,0.9606173537353598,0.036699355127365496,0.9257130190631002,0.04303358592896383,0.9528379279262056,0.02590916189702449,0.7819837281933499,0.13926388980720078,0.9128634430634491
11,GraphSAGE_Optimised,4,0.9499411062115846,0.054232140473781186,0.9237402098418797,0.04722026712437554,0.951625724207077,0.028984401129851407,0.7748424102650598,0.1490650938072952,0.9073980217104666
12,GraphSAGE_Optimised,2,0.8869405989154728,0.09688775625710305,0.8742155558839466,0.05987818775627939,0.9225957216199842,0.032681959619625875,0.5810525396997848,0.2774403680418047,0.8290764987037795
13,GraphSAGE_Optimised,5,0.8441938314935241,0.07923249569347787,0.8464829318752771,0.04466214356011369,0.9053574903306757,0.025580384043368837,0.5153869298584455,0.1796947605355243,0.7913519130484648
14,GraphSAGE_Optimised,1,0.765372858816355,0.05665323873281995,0.792975715481996,0.021815644385788348,0.8790327758290941,0.009079896649242167,0.22845406942189564,0.1827333191452572,0.6890019413397032
15,GIN_Optimised,5,0.8742928250119173,0.036720125220938954,0.8588542436333186,0.021874975479651376,0.9125237307194307,0.01220919850446981,0.5667303328541378,0.0821286241606167,0.8157949333082845
16,GIN_Optimised,4,0.8574782715817003,0.04775642825736553,0.8494384513078173,0.023716064961005333,0.9063192037049426,0.013346122912283901,0.5375995436637308,0.08912434879044248,0.8008587663405901
17,GIN_Optimised,3,0.8405345737985765,0.03532985710605992,0.8320870893059455,0.02353812242488854,0.8962525545291422,0.014659933438975075,0.4790590384312897,0.08510790254397398,0.7768488175234429
18,GIN_Optimised,2,0.8022697751752389,0.03138540377139374,0.8251711738338013,0.025950938896345366,0.8938162616397977,0.014292668987629587,0.43932779923085236,0.11039846372836966,0.7548610968768421
19,GIN_Optimised,1,0.7068137021980536,0.05842788886406796,0.7825796758780357,0.019090005123924433,0.8753027018405442,0.009448878693453294,0.15501239735293215,0.15347597125946189,0.652881033261522
