,Model,Run,Auc_mean,Auc_std,Acc_mean,Acc_std,F1_mean,F1_std,Mcc_mean,Mcc_std,Aggregate_score
0,GCN_Optimised,5,0.410148755211645,0.027332683962645835,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5277106311005837
1,GCN_Optimised,4,0.4020996530798536,0.028496422360406785,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5252959004610462
2,GCN_Optimised,3,0.39418712110604326,0.03067822518726345,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5229221408689032
3,GCN_Optimised,1,0.3911833179155103,0.03145029856661991,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5220209999117433
4,GCN_Optimised,2,0.3897816350390878,0.031114080700682584,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5216004950488166
5,GAT_Optimised,3,0.4635248404848312,0.0427355023607533,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5437234566825395
6,GAT_Optimised,2,0.46262518851444884,0.041232492070608244,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5434535610914248
7,GAT_Optimised,4,0.45796706343649884,0.04361968406614807,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5420561235680399
8,GAT_Optimised,5,0.4520263591212682,0.05282177341830882,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5402739122734708
9,GAT_Optimised,1,0.4428582683144991,0.05103289162784836,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5375234850314399
10,GraphSAGE_Optimised,3,0.7985129184523412,0.06373381537497576,0.8167405546524803,0.030598324575721387,0.8886706509245231,0.014928172935686582,0.39495239114438424,0.16269886134098274,0.741300650345228
11,GraphSAGE_Optimised,5,0.7943628575079442,0.059490939060786334,0.8316018915324369,0.017828374818272413,0.8964290080665951,0.008705147595104918,0.47222091847047637,0.08622783588898225,0.7615194100195286
12,GraphSAGE_Optimised,4,0.757567551489025,0.06839490860290813,0.7909905915964731,0.026137489699403122,0.8707760604639784,0.01365066756909722,0.3330621615249987,0.13739105350748027,0.7053350873234447
13,GraphSAGE_Optimised,2,0.750449999579166,0.07660671547960919,0.7904930791586622,0.024733017046605753,0.8765362164574624,0.01015276357187335,0.21870665329160116,0.1995433565241912,0.6813314975711612
14,GraphSAGE_Optimised,1,0.6807970612787688,0.09934397928576592,0.7696812964878578,0.006599660113042774,0.8692627312258067,0.003865237807962452,0.04517542401419497,0.08381493289727861,0.6180311383779883
15,GIN_Optimised,4,0.5854943985097889,0.050101328142403215,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5803143240900268
16,GIN_Optimised,3,0.5815305584695114,0.054004446926499895,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5791251720779436
17,GIN_Optimised,5,0.5806702984630382,0.048084230978490336,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5788670940760017
18,GIN_Optimised,2,0.5740682910089225,0.04770880566982686,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5768864918397669
19,GIN_Optimised,1,0.5382790476758875,0.0650729400539389,0.7691936357814887,0.0023074355572052243,0.8695395690132182,0.001473499340035159,0.0,0.0,0.5661497188398565
