,Model,Run,Auc_mean,Auc_std,Acc_mean,Acc_std,F1_mean,F1_std,Mcc_mean,Mcc_std,Aggregate_score
0,GCN_Optimised,4,0.4833258455198754,0.07693289763870038,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.42283108698929595
1,GCN_Optimised,3,0.48293346399316545,0.07661393485421071,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.42271337253128294
2,GCN_Optimised,1,0.4828995426905875,0.07662309249152945,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.42270319614050955
3,GCN_Optimised,2,0.4828656213880095,0.07661213492712243,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.42269301974973617
4,GCN_Optimised,5,0.4828254686165135,0.07646174597050508,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.42268097391828735
5,GAT_Optimised,1,0.4753828835619881,0.08168128151136671,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.4204481984019297
6,GAT_Optimised,3,0.4677602392080004,0.06814907672742787,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.4181614050957334
7,GAT_Optimised,4,0.4676346550077894,0.06745295201528106,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.41812372983567014
8,GAT_Optimised,5,0.4671298557716468,0.06842827108948883,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.4179722900648274
9,GAT_Optimised,2,0.4666995326398311,0.0667614605159213,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.4178431931252826
10,GraphSAGE_Optimised,5,0.5969206492788582,0.07988946663135932,0.9295689655172413,0.005906172521761762,0.08333333333333334,0.11180339887498948,0.1306994954937698,0.16483224561074708,0.5007534502042504
11,GraphSAGE_Optimised,3,0.5966113372531282,0.08031214517369559,0.9281896551724138,0.006200810897220778,0.05,0.1067187372905475,0.07252872634088355,0.14856789441728285,0.4819460429958393
12,GraphSAGE_Optimised,4,0.5851678476305342,0.06446566456637938,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.4533836876224936
13,GraphSAGE_Optimised,1,0.555029549223579,0.0873636038169564,0.9275,0.006229508325359215,0.03333333333333334,0.10000000000000002,0.0434433417644404,0.1303300252933212,0.46011419978662843
14,GraphSAGE_Optimised,2,0.5475436956630986,0.07967481051718231,0.9274952107279694,0.00449602461622666,0.03484848484848485,0.069779266301027,0.05969686832132125,0.11944249345543721,0.46142074255128157
15,GIN_Optimised,5,0.41000909593446905,0.06713065043810934,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.40083606211367406
16,GIN_Optimised,1,0.4054115533443892,0.06506779945903123,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.39945679933665007
17,GIN_Optimised,4,0.40264194180612095,0.06311449359038737,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.3986259158751696
18,GIN_Optimised,2,0.40261342278506457,0.06290235497012947,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.3986173601688527
19,GIN_Optimised,3,0.3992956429971356,0.0636596873239796,0.9261111111111111,0.0030166179493371402,0.0,0.0,0.0,0.0,0.397622026232474
